순번,하수처리시설명,수질등록일자,날씨,기온(℃),수온,유입수BOD(mg/L),유입수COD(mg/L),유입수SS(mg/L),유입수TN(mg/L),유입수TP(mg/L),유입수대장균수(개/ml),유입량(m3/d),방류수BOD(mg/L),방류수COD(mg/L),방류수SS(mg/L),방류수TN(mg/L),방류수TP(mg/L),방류수대장균수(개/ml),방류량(m3/d)
231,능곡하수처리시설,2019-05-14,흐림,24,22,315.0,99.9,395.0,69.008,7.292,"176,000","4,665",4.4,9.1,2.1,3.004,0.669,150,"4,304"
230,능곡하수처리시설,2019-05-15,흐림,24,21.9,369.0,96.5,135.0,39.887,5.894,"143,000","4,647",5.8,9.7,2.2,2.326,0.565,180,"4,226"
229,능곡하수처리시설,2019-05-16,흐림,27,22.2,318.0,90.3,147.5,45.329,5.638,"22,000","4,694",5.0,8.4,2.2,2.392,0.588,150,"4,259"
228,능곡하수처리시설,2019-05-17,흐림,26,22,262.2,84.5,160.0,54.413,5.623,"22,000","4,413",3.6,7.1,2.6,2.201,0.586,200,"3,975"
227,능곡하수처리시설,2019-05-18,비,25,22.1,309.0,132.0,267.5,54.019,8.663,"143,000","4,572",2.5,12.9,1.6,1.721,0.160,130,"4,192"
226,능곡하수처리시설,2019-05-19,비,21,22.4,399.0,94.9,140.0,50.222,4.632,"176,000","4,933",6.2,7.4,2.2,3.366,0.856,220,"4,510"
225,능곡하수처리시설,2019-05-20,비,20,22.2,217.2,95.9,120.0,52.198,4.915,"88,000","4,523",5.0,9.3,1.6,2.365,0.561,220,"4,129"
224,능곡하수처리시설,2019-05-21,흐림,21,22.4,408.0,102.5,197.5,59.410,6.214,"165,000","4,498",3.9,10.4,1.8,2.002,0.491,150,"4,154"
223,능곡하수처리시설,2019-05-22,흐림,22,22,228.6,79.0,242.5,42.159,4.512,"44,000","4,586",2.8,8.8,1.5,1.965,0.339,180,"4,159"
222,능곡하수처리시설,2019-05-23,흐림,25,22.5,225.6,112.9,182.5,53.554,5.291,"99,000","4,512",2.6,9.8,1.7,2.275,0.187,40,"4,209"
221,능곡하수처리시설,2019-05-24,흐림,28,23,376.8,108.7,107.5,45.427,5.267,"77,000","4,634",3.0,8.5,1.8,1.898,0.262,110,"4,115"
220,능곡하수처리시설,2019-05-25,흐림,25,22.1,192.0,94.3,105.0,63.164,6.112,"110,000","4,368",5.4,10.1,1.6,2.202,0.294,260,"3,887"
219,능곡하수처리시설,2019-05-26,맑음,27,22.4,286.8,82.4,147.5,57.660,6.026,"88,000","5,067",5.4,7.2,2.2,1.971,0.222,130,"4,419"
218,능곡하수처리시설,2019-05-27,비,22,23.5,391.8,99.1,162.5,69.540,6.195,"154,000","4,936",6.3,9.7,1.7,1.796,0.366,150,"4,230"
217,능곡하수처리시설,2019-05-28,맑음,21,23.3,280.2,98.1,122.5,50.737,5.066,"33,000","4,220",3.2,9.5,1.0,1.695,0.342,110,"4,029"
216,능곡하수처리시설,2019-05-29,흐림,22,23.2,503.4,110.9,132.5,76.896,6.955,"220,000","4,470",3.7,9.2,1.3,2.246,0.356,180,"3,997"
